Cruise,Bottle Number,Sample Type,Depth [m],Sample Volume [mL],Filter Diameter [mm],Sample Time,Filter Pore Size [um],Parameter Name,Parameter Value,Parameter Units,Laboratory,Researcher,Analysis Method,Comment Name,Comment Value
simz2013c19,2,Niskin,,2500,25,,30,B1006_barnacles,0.069,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.084,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.07,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,tuni931_tunicata,0.142,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,echi1712_echinoidea,3.56,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,brac2467_brachyura,0.048,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,B1006_barnacles,0.083,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.086,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.055,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,tuni931_tunicata,0.052,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,echi1712_echinoidea,4,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,brac2467_brachyura,0.045,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,B1006_barnacles,0.071,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.085,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.061,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,tuni931_tunicata,0.054,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,echi1712_echinoidea,4,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,brac2467_brachyura,0.039,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,B1006_barnacles,0.067,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.194,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.197,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,tuni931_tunicata,0.458,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.133,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,brac2467_brachyura,0.06,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,6,Niskin,,2500,25,,30,B1006_barnacles,0.072,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.322,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.075,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,6,Niskin,,2500,25,,30,tuni931_tunicata,0.287,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,6,Niskin,,2500,25,,30,echi1712_echinoidea,0.255,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,6,Niskin,,2500,25,,30,brac2467_brachyura,0.078,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,10,Niskin,,2500,25,,30,B1006_barnacles,0.074,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.37,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.077,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,10,Niskin,,2500,25,,30,tuni931_tunicata,0.096,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,10,Niskin,,2500,25,,30,echi1712_echinoidea,0.289,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,10,Niskin,,2500,25,,30,brac2467_brachyura,0.069,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,2,Niskin,,2500,25,,30,B1006_barnacles,0.049,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.132,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.107,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,2,Niskin,,2500,25,,30,tuni931_tunicata,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.065,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,2,Niskin,,2500,25,,30,brac2467_brachyura,0.047,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,6,Niskin,,2500,25,,30,B1006_barnacles,0.066,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.075,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.62,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,6,Niskin,,2500,25,,30,tuni931_tunicata,0.192,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,6,Niskin,,2500,25,,30,echi1712_echinoidea,0.261,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,6,Niskin,,2500,25,,30,brac2467_brachyura,0.047,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,10,Niskin,,2500,25,,30,B1006_barnacles,0.065,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.189,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.263,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,10,Niskin,,2500,25,,30,tuni931_tunicata,0.076,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,10,Niskin,,2500,25,,30,echi1712_echinoidea,3.964,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c21,10,Niskin,,2500,25,,30,brac2467_brachyura,0.046,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,2,Niskin,,2500,25,,30,B1006_barnacles,0.088,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.133,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.348,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,2,Niskin,,2500,25,,30,tuni931_tunicata,0.075,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.068,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,2,Niskin,,2500,25,,30,brac2467_brachyura,0.049,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,6,Niskin,,2500,25,,30,B1006_barnacles,0.055,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.24,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.128,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,6,Niskin,,2500,25,,30,tuni931_tunicata,1.119,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,6,Niskin,,2500,25,,30,echi1712_echinoidea,1.149,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,6,Niskin,,2500,25,,30,brac2467_brachyura,0.049,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,10,Niskin,,2500,25,,30,B1006_barnacles,0.094,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.244,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.301,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,10,Niskin,,2500,25,,30,tuni931_tunicata,1.965,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,10,Niskin,,2500,25,,30,echi1712_echinoidea,1.317,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c22,10,Niskin,,2500,25,,30,brac2467_brachyura,0.051,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,2,Niskin,,2500,25,,30,B1006_barnacles,0.06,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.166,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,2,Niskin,,2500,25,,30,sab1182_sabellariidae,1.06,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,2,Niskin,,2500,25,,30,tuni931_tunicata,0.286,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.771,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,2,Niskin,,2500,25,,30,brac2467_brachyura,0.046,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,6,Niskin,,2500,25,,30,B1006_barnacles,0.085,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.139,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,6,Niskin,,2500,25,,30,tuni931_tunicata,0.196,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,6,Niskin,,2500,25,,30,echi1712_echinoidea,4,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,6,Niskin,,2500,25,,30,brac2467_brachyura,0.045,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,10,Niskin,,2500,25,,30,B1006_barnacles,0.081,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.101,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.045,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,10,Niskin,,2500,25,,30,tuni931_tunicata,0.5,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,10,Niskin,,2500,25,,30,echi1712_echinoidea,4,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c23,10,Niskin,,2500,25,,30,brac2467_brachyura,0.046,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,2,Niskin,,2500,25,,30,B1006_barnacles,0.053,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.208,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.053,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,2,Niskin,,2500,25,,30,tuni931_tunicata,0.248,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.081,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,2,Niskin,,2500,25,,30,brac2467_brachyura,0.045,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,6,Niskin,,2500,25,,30,B1006_barnacles,0.074,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.259,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.063,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,6,Niskin,,2500,25,,30,tuni931_tunicata,1.128,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,6,Niskin,,2500,25,,30,echi1712_echinoidea,0.429,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,6,Niskin,,2500,25,,30,brac2467_brachyura,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,10,Niskin,,2500,25,,30,B1006_barnacles,0.106,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.514,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.075,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,10,Niskin,,2500,25,,30,tuni931_tunicata,1.293,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,10,Niskin,,2500,25,,30,echi1712_echinoidea,0.505,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c24,10,Niskin,,2500,25,,30,brac2467_brachyura,0.069,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,2,Niskin,,2500,25,,30,B1006_barnacles,0.054,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.648,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.063,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,2,Niskin,,2500,25,,30,tuni931_tunicata,0.12,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.077,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,2,Niskin,,2500,25,,30,brac2467_brachyura,0.057,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,6,Niskin,,2500,25,,30,B1006_barnacles,0.064,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.714,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.263,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,6,Niskin,,2500,25,,30,tuni931_tunicata,0.47,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,6,Niskin,,2500,25,,30,echi1712_echinoidea,0.644,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,6,Niskin,,2500,25,,30,brac2467_brachyura,0.053,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,10,Niskin,,2500,25,,30,B1006_barnacles,0.067,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.305,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.048,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,10,Niskin,,2500,25,,30,tuni931_tunicata,0.587,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,10,Niskin,,2500,25,,30,echi1712_echinoidea,3.746,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c25,10,Niskin,,2500,25,,30,brac2467_brachyura,0.047,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,2,Niskin,,2500,25,,30,B1006_barnacles,0.062,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.207,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.986,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,2,Niskin,,2500,25,,30,tuni931_tunicata,0.079,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.085,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,2,Niskin,,2500,25,,30,brac2467_brachyura,0.054,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,6,Niskin,,2500,25,,30,B1006_barnacles,0.058,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.36,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.581,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,6,Niskin,,2500,25,,30,tuni931_tunicata,2.031,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,6,Niskin,,2500,25,,30,echi1712_echinoidea,0.199,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,6,Niskin,,2500,25,,30,brac2467_brachyura,0.054,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,10,Niskin,,2500,25,,30,B1006_barnacles,0.075,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.321,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.199,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,10,Niskin,,2500,25,,30,tuni931_tunicata,1.703,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,10,Niskin,,2500,25,,30,echi1712_echinoidea,1.575,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c26,10,Niskin,,2500,25,,30,brac2467_brachyura,0.05,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,2,Niskin,,2500,25,,30,B1006_barnacles,0.056,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.123,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.803,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,2,Niskin,,2500,25,,30,tuni931_tunicata,0.408,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.346,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,2,Niskin,,2500,25,,30,brac2467_brachyura,0.048,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,6,Niskin,,2500,25,,30,B1006_barnacles,0.068,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.181,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.136,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,6,Niskin,,2500,25,,30,tuni931_tunicata,0.461,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,6,Niskin,,2500,25,,30,echi1712_echinoidea,1.686,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,6,Niskin,,2500,25,,30,brac2467_brachyura,0.04,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,10,Niskin,,2500,25,,30,B1006_barnacles,0.073,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.168,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.049,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,10,Niskin,,2500,25,,30,tuni931_tunicata,0.716,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c27,10,Niskin,,2500,25,,30,echi1712_echinoidea,2.247,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
